0:7:54:85 [DiamsBot-Main] INFO  diamssword.bot.Main : --Searching for Plugins--
0:7:54:141 [DiamsBot-Main] INFO  diamssword.bot.plugins.LoadPlugins : Found a Plugin!   ID: Diams_bot_plugin2    Name:DiamsBot Second Plugin
0:7:54:314 [DiamsBot-Main] INFO  diamssword.bot.plugins.LoadPlugins : Found a Plugin!   ID: Diams_bot_plugin1    Name:DiamsBot First Plugin
0:7:54:419 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:7:54:491 [DiamsBot-Main] INFO  diamssword.bot.Main : --PreInit Plugins--
0:7:54:659 [DiamsBot-Main] INFO  diamssword.bot.Main : --Loading Old Save Systeme (to be removed!!)--
0:7:54:862 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:7:54:908 [DiamsBot-Main] INFO  diamssword.bot.Main : --Building and loading DiamsBot--
0:7:57:295 [DiamsBot-Main] INFO  diamssword.bot.Main : --Creating Storage and audioManager instance--
0:7:57:405 [DiamsBot-Main] INFO  diamssword.bot.Main : ...DONE!!
0:7:57:446 [DiamsBot-Main] INFO  diamssword.bot.Main : --Init Plugins--
0:7:57:488 [DiamsBot-Main] INFO  diamssword.bot.Main : --Loading Commands--
0:7:57:678 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:7:57:717 [DiamsBot-Main] INFO  diamssword.bot.Main : --Loading Stored Datas for each guilds--
0:7:57:779 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Le domaine des dieux !'s guild!
0:7:57:915 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Le domaine des dieux !'s guild!
0:7:58:71 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Le domaine des dieux !'s guild!
0:7:58:254 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Le domaine des dieux !'s guild!
0:7:58:468 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Le domaine des dieux !'s guild!
0:7:58:731 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for La Secte d'Olüm's guild!
0:7:58:805 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for La Secte d'Olüm's guild!
0:7:58:971 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for La Secte d'Olüm's guild!
0:7:59:156 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for La Secte d'Olüm's guild!
0:7:59:380 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for La Secte d'Olüm's guild!
0:7:59:610 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Jumpers's guild!
0:7:59:810 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Jumpers's guild!
0:8:0:51 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Jumpers's guild!
0:8:0:253 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Jumpers's guild!
0:8:0:491 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Jumpers's guild!
0:8:0:781 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Les dégénérés's guild!
0:8:1:37 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Les dégénérés's guild!
0:8:1:327 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Les dégénérés's guild!
0:8:1:633 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Les dégénérés's guild!
0:8:1:928 [DiamsBot-Main] INFO  diamssword.bot.storage.Storage : Loaded class com.diamssword.bot.api.actions.storage.GuildStorage for Les dégénérés's guild!
0:8:2:286 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:8:2:451 [DiamsBot-Main] INFO  diamssword.bot.Main : --Clearing Caches--
0:8:2:597 [DiamsBot-Main] INFO  diamssword.bot.audio.TTS.TextToSpeechBot : Cleared TTSCache
0:8:2:798 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:8:2:936 [DiamsBot-Main] INFO  diamssword.bot.Main : --Initing ticking Thread--
0:8:3:124 [DiamsBot-Main] INFO  diamssword.bot.Main : ...Done!
0:8:3:285 [DiamsBot-Main] INFO  diamssword.bot.Main : --PostInit Plugins--
